id,name,numberofquestion,createdAt,updatedAt,nameEx,threshold,IDrank,showsubject,timeFinish,id,IDSubject,code,createdAt,updatedAt,id,IDTest,IDQuestion,createdAt,updatedAt,numberquestion,IDsubject,order
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3472,276,771,"2025-01-09 22:37:54","2025-01-09 22:37:54",2,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3471,276,770,"2025-01-09 22:37:54","2025-01-09 22:37:54",1,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3490,277,791,"2025-01-09 22:37:54","2025-01-09 22:37:54",10,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3489,277,787,"2025-01-09 22:37:54","2025-01-09 22:37:54",9,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3488,277,786,"2025-01-09 22:37:54","2025-01-09 22:37:54",8,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3487,277,785,"2025-01-09 22:37:54","2025-01-09 22:37:54",7,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3486,277,784,"2025-01-09 22:37:54","2025-01-09 22:37:54",6,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3485,277,783,"2025-01-09 22:37:54","2025-01-09 22:37:54",5,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3484,277,782,"2025-01-09 22:37:54","2025-01-09 22:37:54",4,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,277,3,DeSo-7,"2025-01-09 22:37:54","2025-01-09 22:37:54",3483,277,781,"2025-01-09 22:37:54","2025-01-09 22:37:54",3,3,NULL
